Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
148,H6R001,Theewaterskloof Dam ,"Thee Waters Kloof",34.07741,19.289929999999998,WCw,18,Riviersonderend @ Theewaterskloof Dam,498,479.26,,324.60000000000002,316.45999999999998,307.33,299.14999999999998,,,268.64999999999998,258.06,,238.08,227.06,215.79,196.37,188.66,178.71,169.89,69.099999999999994,67.7,66,64.099999999999994,62.4,,,56.1,53.8,,49.7,47.4,45,41,39.4,37.299999999999997,35.4,63
149,H6R002,Elandskloof Dam ,Elandskloof,33.95214,19.28454,WCw,18,Elands River @ Elandskloof Dam,50,10.993,,9.977,9.551,9.358,7.971,,,7.638,7.064,,5.851,5.452,,4.053,4.669,3.382,3.016,92,90.8,86.9,85.1,72.5,,,69.5,64.3,,53.2,49.6,,36.9,42.5,30.8,27.4,34.799999999999997
150,H7R001,Buffeljags Dam ,Buffelsjags,34.018729999999998,20.532830000000001,WCo,18,Buffeljags River @ Buffeljags Dam,614,4.543,,4.607,4.543,4.48,4.405,,,4.594,4.607,,4.556,4.697,4.568,4.556,4.417,4.645,4.607,100.8,101.4,100,98.6,97,,,101.1,101.4,,100.3,103.4,100.6,100.3,97.2,102.3,101.4,100.7
151,H8R001,Duiwenhoks Dam ,Duiwenhoks,33.996630000000003,20.948969999999999,WCo,16,Duiwenhoks River @ Duiwenhoks Dam,146,6.18,,6.212,6.193,6.174,6.061,,,6.199,6.212,,6.148,6.212,6.18,6.18,,6.174,6.193,100.4,100.5,100.2,99.9,98.1,,,100.3,100.5,,99.5,100.5,100,100,,99.9,100.2,92.3
152,H9R001,Korentepoort Dam ,Korentepoort,34.004809999999999,21.16574,WCo,16,Korinte River @ Korentepoort Dam,37,8.092,,8.112,8.019,7.856,7.664,,,7.476,7.684,,7.555,7.856,7.805,7.897,7.775,7.907,8.122999999999999,99.9,100.3,99.1,97.1,94.7,,,92.4,95,,93.4,97.1,96.5,97.6,96.1,97.7,100.4,63
153,J1R001,Prinsrivier Dam ,Prinsrivier,33.517049999999998,20.7529,WCo,16,Prins River @ Prinsrivier Dam,757,2.258,,1.188,1.107,0.944,0.899,,,1.058,1.05,,0.932,0.835,0.744,0.713,0.689,0.554,0.494,59,52.6,49,41.8,39.799999999999997,,,46.9,46.5,,41.3,37,33,31.6,30.5,24.5,21.9,7.8
154,J1R002,Bellair Dam ,Bellair,33.712000000000003,20.597629999999999,WCo,16,Brak River @ Bellair Dam,558,4.241,,3.878,3.845,3.811,3.767,,,3.671,3.629,,3.545,3.493,3.452,3.351,3.321,3.301,3.231,92,91.5,90.7,89.9,88.8,,,86.6,85.6,,83.6,82.4,81.400000000000006,79,78.3,77.8,76.2,69.7
155,J1R003,Floriskraal Dam ,Floris Kraal,33.291699999999999,20.990369999999999,WCo,16,Buffels River @ Floriskraal Dam,4024,48.265999999999998,,12.021000000000001,11.867000000000001,11.02,6.523,,,5.419,5.229,,4.937,4.74,4.577,3.944,3.826,3.711,3.599,25.3,24.9,24.6,22.8,13.5,,,11.2,10.8,,10.199999999999999,9.800000000000001,9.5,8.199999999999999,7.9,7.7,7.5,42.6
156,J1R004,Miertjieskraal Dam ,Miertjies Kraal,33.828890000000001,21.13317,WCo,16,Brand River @ Miertjieskraal Dam,251,1.517,,1.52,1.507,1.512,1.505,,,1.392,1.051,,1.037,1.025,1.012,0.646,,0.635,0.627,96.5,100.2,99.4,99.7,99.2,,,91.7,69.3,,68.400000000000006,67.5,66.7,42.6,,41.9,41.4,23.7
157,J2R001,Calitzdorp Dam ,Calitzdorp,33.490580000000001,21.70458,WCo,16,Nels River @ Calitzdorp Dam,37,4.817,,4.653,4.659,4.502,4.349,,,4.767,4.681,,4.557,4.585,4.37,4.236,4.231,4.115,3.946,100.2,96.6,96.7,93.5,90.3,,,99,97.2,,94.6,95.2,90.7,87.9,87.8,85.4,81.900000000000006,50.5
